Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²)
58.509,-0.0279999971389771,-0.0208753728706019,1.34365631588579
58.542,-0.0279999971389771,0.027441115491719,1.43339982572974
58.575,-0.026199996471405,0.0758418179923065,1.3208320743035
58.608,-0.0230999886989594,0.125505030155187,1.24069506564718
58.641,-0.0175999999046326,0.164393874932617,0.940661878956202
58.674,-0.0117999911308289,0.18838369083725,0.589153568990475
58.707,-0.0049000084400177,0.201683278236318,0.26081671333978
58.74,0.00169998407363892,0.205639687050068,-0.0724095937462568
58.773,0.008899986743927,0.19974765753506,-0.474652553269784
58.806,0.015500009059906,0.173989971880165,-0.856639404639661
58.839,0.0205999910831451,0.138973020744643,-1.12996728894162
58.872,0.0248000025749207,0.0974746665569241,-1.33067525299138
58.905,0.0271999835968018,0.0499157793192744,-1.38379289273676
58.938,0.0282000005245209,-0.00126263509294402,-1.51357006928496
58.971,0.0271999835968018,-0.0546296136547843,-1.48053018122184
59.004,0.024399995803833,-0.10210421149578,-1.32646525136165
59.037,0.0203000009059906,-0.143350023613228,-1.10653572017697
59.07,0.0148000121116638,-0.17760947396859,-0.799452855852472
59.103,0.00819998979568481,-0.198400733045453,-0.338861735139089
59.136,0.00130000710487366,-0.204966350235931,-0.033762060308356
59.169,-0.00560000538825989,-0.200336805297076,0.288095738477075
59.202,-0.0121000111103058,-0.18678442496643,0.635921189179382
59.235,-0.0182999968528748,-0.159679940252588,1.00308645391077
59.268,-0.0230999886989594,-0.117845055631512,1.24306825155021
59.301,-0.026199996471405,-0.0702020295139907,1.39753135826292
59.334,-0.0275999903678894,-0.0241582943534219,1.48135268531709
59.367,-0.0279999971389771,0.0273567759228084,1.53442411632667
59.4,-0.0259000062942505,0.0811447750036953,1.45159596562817
59.433,-0.0223999917507172,0.127272699216396,1.22599496302771
59.466,-0.017300009727478,0.164898984159281,0.896592707039645
59.499,-0.0110999941825867,0.1878788324719,0.519575308209626
59.532,-0.00450000166893005,0.196969669675995,0.118652254991296
59.565,0.00200000405311584,0.199579028569485,-0.106550862161173
59.598,0.008899986743927,0.19284508344701,-0.429915169626874
59.631,0.0151000022888184,0.172558958682944,-0.797749005061127
59.664,0.0205999910831451,0.140151567129974,-1.15244690664616
59.697,0.0248000025749207,0.0930977640328621,-1.39023596747659
59.73,0.0268000066280365,0.0429292921265384,-1.45528172626743
59.763,0.0275000035762787,-0.00462977071402444,-1.44762790156197
59.796,0.0264999866485596,-0.0521885826932846,-1.30565523807989
59.829,0.0241000056266785,-0.0997474699309346,-1.3119483598444
59.862,0.019899994134903,-0.145033804655876,-1.10612257188837
59.895,0.0140999853610992,-0.176515141721534,-0.764021970311754
59.928,0.00789999961853027,-0.195117811562646,-0.311368339729997
59.961,0.000999987125396729,-0.203366933848317,-0.0222830547842968
59.994,-0.00589999556541443,-0.198232229510535,0.330039578833233
60.027,-0.0124000012874603,-0.180639753036622,0.663410308543188
60.06,-0.0180000066757202,-0.154629525311464,0.985869386810411
60.093,-0.0230999886989594,-0.113467927332282,1.23853500837896
60.126,-0.0254999995231628,-0.069107722353055,1.37726745187043
60.159,-0.0275999903678894,-0.0240740551290282,1.51649559982363
60.192,-0.0275999903678894,0.0337540400951389,1.54327920345699
60.225,-0.0252000093460083,0.0858584337362924,1.33929169669667
60.258,-0.0214000046253204,0.123232302039566,1.08421603288575
60.291,-0.0169000029563904,0.153535293408923,0.786783407880822
60.324,-0.0114000141620636,0.183838410208921,0.666486849982319
60.357,-0.00450000166893005,0.204629744544167,0.31989369628864
60.39,0.00270000100135803,0.206397313260865,-0.105999140455366
60.423,0.00929999351501465,0.19755894286865,-0.542391502380953
60.456,0.0162000060081482,0.172053824370163,-0.991678979754943
60.489,0.0212999880313873,0.126599287143866,-1.23203664701856
60.522,0.024399995803833,0.0826600775975559,-1.34772873867507
60.555,0.0268000066280365,0.0363637251083285,-1.3956360399076
60.588,0.0268000066280365,-0.00984856375941494,-1.40518706865132
60.621,0.026199996471405,-0.0569866562531846,-1.37896824080234
60.654,0.0230999886989594,-0.104629556940064,-1.23655024783459
60.687,0.0189000070095062,-0.140740614547478,-1.01329103968863
60.72,0.013700008392334,-0.171212234882391,-0.655640302114701
60.753,0.00749999284744263,-0.194781331301533,-0.393461737109031
60.786,0.000299990177154541,-0.201010192283473,-0.00135767064449294
60.819,-0.00620001554489136,-0.192087457236224,0.339041305795896
60.852,-0.0124000012874603,-0.177777601211568,0.652357165415059
60.885,-0.0182999968528748,-0.15075750623889,0.960352415242425
60.918,-0.0227999985218048,-0.10959595843196,1.23331246677313
60.951,-0.0254999995231628,-0.0659932793190161,1.39516574676622
60.984,-0.0273000001907349,-0.0172558958682946,1.50778129487201
61.017,-0.0268999934196472,0.0378786514102426,1.47285056932636
61.05,-0.0245000123977661,0.0844274456252187,1.29770134271707
61.083,-0.0211000144481659,0.123569083334218,1.09647599201816
61.116,-0.0162000060081482,0.156313356526367,0.885680916229307
61.149,-0.010699987411499,0.183754271329045,0.614872405774711
61.182,-0.00380000472068787,0.200757524782557,0.229707885032447
61.215,0.00310000777244568,0.199410650465232,-0.228010170629326
61.248,0.00959998369216919,0.187373647986847,-0.561874539630145
61.281,0.0157999992370605,0.162373764145653,-0.893615363506749
61.314,0.0205999910831451,0.126767665248123,-1.16158773915591
61.347,0.024399995803833,0.0830808221691775,-1.33695275293852
61.38,0.026199996471405,0.0348484225144704,-1.39533596925016
61.413,0.0264999866485596,-0.00934342944662205,-1.41552753763322
61.446,0.0257999897003174,-0.058501457124446,-1.40546736603264
61.479,0.0227000117301941,-0.107659735663568,-1.23081481523376
61.512,0.018200010061264,-0.142508459211595,-0.963906796778146
61.545,0.0130999982357025,-0.16969700754692,-0.711026401617407
61.578,0.00690001249313355,-0.190235824898044,-0.344792943023111
61.611,0.000299990177154541,-0.200926153748132,-0.0259601704221417
61.644,-0.00690001249313355,-0.193855276814211,0.370301947422294
61.677,-0.012800008058548,-0.174242438692029,0.711735359300095
61.71,-0.0186000168323517,-0.145959482851249,1.0132203846458
61.743,-0.0227999985218048,-0.105134515649942,1.23492154985166
61.776,-0.0254999995231628,-0.0631312780107339,1.33898419522338
61.809,-0.0273000001907349,-0.0113636405781066,1.46561511918682
61.842,-0.026199996471405,0.0391412865031843,1.41657777226469
61.875,-0.0245000123977661,0.083501566740798,1.29656663877823
61.908,-0.0207000076770782,0.126094253175586,1.11163753794996
61.941,-0.0159000158309937,0.159006854299751,0.851883522064938
61.974,-0.00999999046325684,0.183501704172662,0.543735574146881
62.007,-0.00350001454353333,0.196632913467456,0.180182247570997
62.04,0.00339999794960022,0.195117811562631,-0.231346545671782
62.073,0.00959998369216919,0.183754221156786,-0.527205833221405
62.106,0.0157999992370605,0.161363696209106,-0.855312344141499
62.139,0.0205999910831451,0.126515148263994,-1.14840930669961
62.172,0.024399995803833,0.0828283051850452,-1.34821893812514
62.205,0.026199996471405,0.0338383294917915,-1.42644186239588
62.238,0.0264999866485596,-0.0126262505849198,-1.43699866757411
62.271,0.0254999995231628,-0.0618686680039152,-1.39193580617632
62.304,0.0223999917507172,-0.109006785583816,-1.20721755131405
62.337,0.0178999900817871,-0.14377101904616,-0.945621668690479
62.37,0.0126999914646149,-0.170538571948562,-0.578100206252974
62.403,0.0065000057220459,-0.189477997998193,-0.359870632019105
62.436,0,-0.199410725723608,0.018349566500362
62.469,-0.0072999894618988,-0.189141467564834,0.429872882182407
62.502,-0.012800008058548,-0.166582539426765,0.722644890669208
62.535,-0.0182999968528748,-0.140319794717467,0.967729454202308
62.568,-0.0223999917507172,-0.102777874429618,1.12459374910507
62.601,-0.0252000093460083,-0.0602694773914819,1.34405966833646
62.634,-0.0266000032424927,-0.0106060896256954,1.43385407895158
62.667,-0.0259000062942505,0.0388046557253051,1.37719943636145
62.7,-0.0238000154495239,0.0817341234547555,1.25929703282334
62.733,-0.0203999876976013,0.12079127107807,1.14054374914486
